index,answer1,answer2,condition,label
2068,Baked goods,Desserts,The type of food.,3
2069,Baked goods,Assorted Pastries,The amount of swets.,1
2070,Two people,One,The number of people posing.,5
2071,Winter.,Snowy,The weather.,5
2072,Laptop,Laptop,The name of the object.,4
2073,One,Two people.,The number of person.,1
2074,Multicolored,Brown,The color of dish.,3
2075,Chocolate cake,Eating a donut.,The cooking.,1
2076,Lettuce and rice,Vegetable dip.,What is in the bowl.,4
2077,Three dishes.,Two dishes.,The amount of dishes.,2
2078,On wrapper,On a plastic bag.,The way the food is held.,4
2079,Hot dog,Sandwich,The food item.,1
2080,Skiing.,Snowboarding,The person's hobby.,5
2081,Stationary,Downhill,The person's speed.,2
2082,Pizza,Italian.,Type of food.,5
2083,Deep dish,Thick crust,Type of pizza.,4
2084,One cow,Herd of cattle,The amount of cattle.,2
2085,Milking.,Grazing,What the cattle are doing.,2
2086,4 objects,Six Objects,The number of object.,4
2087,Bedroom,Bedroom,The place.,3
2088,Bicycle,Surfboard,The name of the object.,4
2089,One,One,The number of person.,3
2090,Olympic Skier,Skier,The man.,3
2091,Male Skier,Skier,The skier.,2
2092,Two,Two,The number of animal.,5
2093,Zebra,Giraffe,The animal.,3
2094,Grazing.,Grazing,The activity of the animal.,4
2095,Cattle,Cattle,The name of the animal.,4
2096,Rose plant,Purple,There are petals.,3
2097,One vase,Three,The number of vases.,1
2098,Snack,Snacks,The type of meal.,3
2099,Iced tea,Beer,The type of beverage.,2
2100,Bedroom,Modern living room,The place.,4
2101,Three objects,Furniture and Electronics,The number of object.,2
2102,Skateboarding,Skateboarding,The sport being played.,5
2103,Five,One,The number of people.,1
2104,On the table,Black cat,The cat in kitchen.,3
2105,Sitting,Eating,The action of cat.,2
2106,Black,Gray,The color of van.,4
2107,Black van,Gray minivan,The van in the street.,4
2108,One,One,The number of animal.,5
2109,Eating,Sitting,The action of cat.,3
2110,Baseball,Baseball,The game played.,5
2111,Two participants.,Three participants,The number of participants.,1
2112,Gray,Brown,The color of animal.,5
2113,Horse,Horse,The animal.,4
2114,Technology,Keyboard,The name of the object.,4
2115,Workstation,Desk top.,The place of the object.,3
2116,Tennis,Tennis,The name of the game.,5
2117,Court,Tennis court,The name of the place.,1
2118,Cat,Cat,The type of animal.,4
2119,Water,Bowl,The animal's attention.,3
2120,Gesture,Holding kite string,Action taken with the person's hand.,3
2121,Kite,Kite,What is in the sky.,3
2122,Vegetables.,Vegetables,The variety of food.,5
2123,Salad,Vegetables,The type of food.,4
2124,Baseball,Baseball,The game being played.,5
2125,Standing erect.,Batting Stance,The body posture.,3
2126,Winter.,Winter,The season.,3
2127,Young,Adult,The age of the person.,2
2128,Stationary,Historical locomotive.,The train on track.,5
2129,Stationary,Historical locomotive,The train engine.,2
2130,Name Unknown,Baby,The name of the person.,4
2131,Sleeping with stuffed bear,Staring,The name of the action.,1
2132,Cat,Cat,The animal.,5
2133,Blue,"Orange, black, white",The color.,1
2134,Sandwich,Sandwich,The type of food.,4
2135,Zero,One,The number of beverages.,2
2136,Snowboarding.,Photography,The type of work.,3
2137,Mountains,Snowy Area,The name of the place.,3
2138,One,1,The number of person.,4
2139,Food preparation,Eating.,The type of work.,3
2140,Tennis,Tennis,The type of sport.,3
2141,Boy,Adult,The age of the person.,1
2142,Furniture manifest.,Standard Room,The size of object.,5
2143,Bedroom,Hotel room,The place.,3
2144,Many dishes,Multiple dishes,The amount of dishes.,3
2145,Food items,Food Snacks,The type of consumer good.,2
2146,Vintage,Modern eclectic,The style of the room.,3
2147,Attic bathroom,Bathroom,The type of room.,3
2148,Setting for a meal.,Food Display,The object are activity.,4
2149,Two slices,Two,The number of slices.,2
2150,Doughnuts,Donuts,The name of the food.,5
2151,Three items.,Two donuts,The number of food.,1
2152,Cat,Cat,The name of the animal.,5
2153,On TV,Bed,The name of the place.,3
2154,Food items,Vegetables and cutting board.,The objects.,5
2155,Edible,Vegetables.,The edibility.,4
2156,Not specified.,Yellow,The color of object.,3
2157,Desk,Yellow figure,The object.,2
2158,Elephant,Elephant,The type of animal.,4
2159,One,Two elephants,The number of elephants.,1
2160,One,One,The number of person.,5
2161,Baseball,Frisbee golf,The name of sport.,2
2162,Baby & teddy bear,Baby with bow tie,The person's attention.,5
2163,Infant,Infant,The person's age.,3
2164,Cat,Cat,The type of animal.,5
2165,Pouncing position,Alert and focused,The posture of the animal.,1
2166,Skateboard competition.,Skateboarding,The name of the game.,4
2167,One person.,4,The number of people.,3
2168,Location,Stationary,The trains.,4
2169,On Quincy,Stationary,The speed of the trains.,1
2170,Dining area,Living Room,The use of the room.,4
2171,Lakeside,Living Room,The overall location of the room.,2
2172,5 elephants,One elephant.,The number of animals.,3
2173,Elephants,Elephant,The type of animal.,3
2174,Horses,Cattle.,What kind of large animal.,3
2175,Five,7,Number of animals.,1
2176,Tennis court,Tennis Court,The type of the venue.,4
2177,Casual,White Skirt,The type of the outfits.,2
2178,School bus,Bus,The name of the vehicle.,4
2179,Yellow,white,The color of the bus.,1
2180,Refrigerator,Refrigerator,Type of appliance.,5
2181,The fridge is open.,Fridge shut.,Whether the fridge is open or shut.,2
2182,One person.,One.,The number of people.,5
2183,Oranges,Strawberry.,The name of the fruit.,1
2184,Multicolored,Multiple-colored,The color of teddy bear.,5
2185,Teddy bears,Teddy bears in a row.,The object are activity.,2
2186,Color of plate: Not specified,Green,The color of the plate.,5
2187,Dish,Plate,The name of the object.,2
2188,Two people.,Two people,The number of people.,5
2189,Adult,Baby,The age of the person holding the brush.,3
2190,One,3 items,The number of product.,5
2191,Bed,Bedding,The name of the product.,4
2192,Dessert platter,Dessert,The type of meal.,4
2193,Dessert selection.,"Fried pastries, custard, fruit",The types of dishes.,4
2194,Giraffe,Giraffe,The animal.,4
2195,One,Two giraffes,The number of animal.,2
2196,Kitchen appliances.,Kitchen amenities,The cooking.,3
2197,4 items,Six objects.,The number of object.,2
2198,"Egg omelet, bagel, vegetables",Brunch items,The type of foods.,3
2199,Egg omelet on toasted bagel,Brunch,The type of meal.,3
2200,Parked,Parked.,The action of the vehicle.,5
2201,Motorcycle,Motorcycle.,The name of the vehicle.,4
2202,Egg-topped dishes,Breakfast plate,The food.,4
2203,Fried Egg,Tea,The liquid.,2
2204,Field,Military Base,The location of the vehicle.,4
2205,Airplane,Jet aircraft,The type of vehicle.,2
2206,Urban landmark,Skyscraper.,The name of construct.,2
2207,One,many,The number of construct.,2
2208,2 animals,Cat,The species of animal.,5
2209,Orange,Black,The color of the animal.,1
2210,Three pairs,One.,The number of product.,4
2211,Scissors,Tool,The type of product.,4
2212,Watering hole,Field,The name of the place.,4
2213,Elephant,Elephant,The name of the animal.,2
2214,Beach,Waterfront,The natural setting near the person.,5
2215,Bike,Bench,The object the person is resting on.,4
2216,Three,Number of Objects: Multiple,The number of object.,5
2217,Assorted Bowls,Plentiful meal,The food.,4
2218,Observing,Sitting,The action of animal.,4
2219,Observing outside.,Between red vase and dog nick knack,The cat is sitting.,1
2220,Pizza,Pizza,The food being being eaten.,4
2221,On exam paper,On the table.,Where the food is located.,2
2222,Beach scene.,Surfboard.,The name of the object.,3
2223,Beach gathering,Watching surfing,The action of the people.,3
2224,One,One,The number of animal.,4
2225,Sleeping,Cat watching TV.,The action of cat.,2
2226,Teddy bear,Keyboard.,The object.,4
2227,Bear,Cat,The animal.,3
2228,Three,1,The number of ring binder.,4
2229,On the couch,Workspace objects,The objects are same.,2
2230,Kitchen,Kitchen,The type of room.,5
2231,Narrow,Large,The size of the kitchen.,1
2232,Cat,Cat with gadgets,The name of the animal.,5
2233,Posing,Balancing act,The activity of the animal.,3
2234,Cozy resting place,Accommodation.,The room's function.,3
2235,Queen-sized,King-sized,The bed's size.,2
2236,Two photos,Comparison,The number.,3
2237,Two,Photographs,The number of animal.,1
2238,Cooking,Cooking,The activity of work.,3
2239,Kitchen,Kitchen,The name of the place.,1
2240,Airport,In the air,The location of the aircraft.,5
2241,Jet Aircraft,Airliner,The type of vehicle.,4
2242,6 objects.,Multiple objects,The number of object.,3
2243,Coffee and utensils with phone and keyboard.,Office desk.,The dish.,1
2244,Baseball batter.,Baseball bat.,The name of the object.,4
2245,Baseball field,Ballpark,The name of the place.,3
2246,Pizza,Pizza,The food type.,4
2247,Two pizzas,One pizza,The quantity of food.,2
2248,Tennis,Tennis,The sport.,4
2249,One person,One,The number of people.,2
2250,Lunch platter,Lunch meal,The type of meal.,3
2251,Meal,Soup,The type of food.,2
2252,Gray,White,The color of animal.,5
2253,Dog,Dog,The animal.,4
2254,Three items,Assorted.,The number of food.,3
2255,Table setting,"Candy, nuts",The food.,2
2256,Window sill.,Decorative item,The vase.,5
2257,Four objects,Four items,The number of object.,3
2258,Dinnerware,Blue crockery,The type of the crockery.,3
2259,Cup,Bowl,The type of the liquid container.,1
2260,Airport,Airport,The type of location.,5
2261,Aircraft,Airplane,The type of vehicle.,4
2262,Train,Railway track,The location of the vehicle.,2
2263,Train,Train,The mode of transportation.,1
2264,Boat,Boats,The type of vehicle.,4
2265,Maritime,Watercraft,The type of travel.,1
2266,Cooking.,Grating cheese.,The action of the woman.,5
2267,Cooking.,Cooking,The woman in the kitchen.,4
2268,Female,Male,The gender of the player.,3
2269,Tennis.,Tennis,The game played.,2
2270,Zebras,Zebras,The animal type.,5
2271,Mixed.,Family bond,The animal's stance.,5
2272,Yellow,Green and yellow.,The colors.,4
2273,Sitting,Sitting.,The body position.,3
2274,Cats,Cat,Animal on the bench.,5
2275,Sleeping,Bathing.,The action of cat.,4
2276,Cake,Doughnut,The food.,3
2277,One,One,The number of people.,3
2278,Plumbing Connections,Plumbing location,The nearness of pipes.,4
2279,Kitchen,Bathroom,The room type.,2
2280,Tennis,Tennis,The sport played.,5
2281,Unspecified,Female,The person's gender.,4
2282,Table,On bed,Place of electronic devices.,4
2283,Assorted electronics,Electronic equipment,The electronic equipment.,3
2284,Tennis,Tennis,The name of the game.,4
2285,Tennis court,Field,The name of the place.,3
2286,Numerous,Two items,The amount of items on the furniture.,5
2287,Desk,Desk,The furniture type that the items are on.,4
2288,Recreational activity,Skateboarding.,The type of job.,3
2289,Skateboarding,Skateboarding,The name of the game.,2
2290,Cat play,Cat napping.,The activity.,5
2291,Orange,Orange,The color of the animal.,2
2292,Workspace,Home office,The place.,4
2293,Equipment,Workstation,The computer.,2
2294,Roses.,Autumn flowers.,The flowers.,3
2295,Playing,Black and white.,The cat.,1
2296,Bookshelf,Book shelf,The shelf type.,5
2297,TV,Near a book shelf,The monitor type.,4
2298,Surfboard,Surfboard,The type of board.,3
2299,One,One,The number of people.,2
2300,Tennis,Tennis,The game being played.,5
2301,Male,Female.,The gender.,3
2302,Table,Smooth surfaces,Type of surface.,3
2303,Wine,Champagne,Type of alcoholic beverage.,2
2304,Catcher,Batter,The position played.,5
2305,Mid-air.,Foul Ball,The ball's position.,3
2306,Two people.,One,The number of person.,5
2307,Baseball,Baseball,The name of the game.,2
2308,Bathroom accessories,Bathroom,The name of the object.,4
2309,Child's Bathroom,Bathroom,The name of the place.,2
2310,Market stall,Grocery Store,The type of business.,5
2311,Two types.,Multiple,The number of different types of fruit.,4
2312,Destination,Road restrictions,The travel.,4
2313,Red,Red,The color.,3
2314,Zebra,Zebra,The species of animal.,4
2315,Near cars,Field,Where the zebras are standing.,4
2316,Bathroom,Bathroom.,The name of the place.,5
2317,Toilet paper,Mirror,The name of the object.,4
2318,Traffic Signs,Traffic signal,The type of signal.,4
2319,Intersection,Unnamed location,The name of the place.,2
2320,Feasting.,Community dining.,The reason the objects are gathered.,4
2321,Several,Group dinner,The number of people.,3
2322,Two women,Two men.,The gender of the people.,4
2323,Phones,Cell phone,The objects in their hands.,3
2324,Pizza,Pizza with cheese chunks,The name of the dish.,5
2325,One item.,Two pieces.,The number of things.,2
2326,Surfers,Surfers,The surfers.,5
2327,Several.,Group of people,The number of people.,4
2328,Baseball,Baseball,The sport being played.,5
2329,Observing,Batting,What the batter is doing.,4
2330,Beach.,Mirage Oasis,The name of the place.,3
2331,One sail.,Unavailable,The number of the sail boat.,3
2332,Airplane,Airplane,The type of aircraft.,5
2333,Two aircraft,Multiple,The number of aircraft.,5
2334,Baseball,Sports,The activity of people.,5
2335,Baseball,Baseball,The sport.,4
2336,Skateboarding,Skateboarding,The person's hobby.,5
2337,High Curb,Mid-air,The person's distance from a surface.,3
2338,Balancing on one leg,Brushing teeth,The children.,4
2339,Balancing,Brushing teeth,The activity.,1
2340,Road closure,Road transportation,The type of travel.,5
2341,Vehicle,Van,The name of the vehicle.,3
2342,Red,Suitcase,The object is suitcase.,4
2343,Red,Black,The color of object.,3
2344,Rail travel.,Train,The type of travel.,3
2345,Black,Red and yellow,The name of color.,2
2346,Three,Five people,The number of people.,5
2347,Video game.,TV,The people are watching.,3
2348,Window sill,On a wooden device.,The location of the items.,3
2349,Three items.,1 cup,The amount of cups.,3
2350,Crowd,One person.,Number of people.,5
2351,Horses,Horse,Type of animal.,3
2352,Kite flying.,Kite flying.,The hobby of people.,5
2353,One person.,Multiple,The number of people.,5
2354,Red,Black,The color of the chair.,5
2355,Desk setup,Furniture and electronics.,The name of the objects.,3
2356,Cat,Cat,The type of animal.,5
2357,One,One,The number of people.,4
2358,One plate,One plate,The number of plates.,4
2359,Zero,1 cup,The number of cups.,2
2360,Two appliances,Two electronics.,The number of electronics.,3
2361,Table,Living Room Setup.,The type of furniture.,1
2362,Bedroom,Dark Room,The name of the room.,4
2363,One,Two,The number of door.,4
2364,Skiing.,Skiing,The person's hobby.,4
2365,One,Five skiers,The number of people.,3
2366,Tennis,Tennis,The game played.,5
2367,Ready to Play,Swinging a tennis racket,The player's stance.,3
2368,Clear,Clear,The color of water.,5
2369,Resting,Sitting,The activity of people.,3
2370,Breakfast food,Being prepared,The food.,5
2371,Breakfast table,Kitchen,The place.,3
2372,Intersection,Street,The difference place.,3
2373,At a corner,Street lamp,The traffic lights.,1
2374,Baseball,Baseball,The sport.,5
2375,Two people.,Two people,The number of people.,5
2376,Corner setup,Laptops,The name of the object.,5
2377,Workspace,Living Room,The name of the place.,4
2378,Floral arrangement,Bouquet,The object is flower.,5
2379,Large,Small,The size of flower.,3
